"ID","EnterpriseEntryID","DefinitionSetID","Entry","EntryCode","EntryName","EntryMnemonic","IsInactiveFLAG","IsEnforcedFLAG","IsCurrentFLAG","EffectiveDT","SexDE"
"3700","331037","0","156","07.00","ADRENAL EXPLORATION NOS","0700","0","1","1","1999-1-21T12:40:17","0"
"3715","331052","0","171","07.41","ADRENAL GLAND INCISION","0741","0","1","1","1999-1-21T12:40:19","0"
"3718","331055","0","174","07.44","ADRENAL GLAND REPAIR","0744","0","1","1","1999-1-21T12:40:20","0"
"3711","331048","0","167","07.21","ADRENAL LESION EXCISION","0721","0","1","1","1999-1-21T12:40:19","0"
"3716","331053","0","172","07.42","ADRENAL NERVE DIVISION","0742","0","1","1","1999-1-21T12:40:19","0"
"3720","331057","0","176","07.49","ADRENAL OPERATIONS NEC","0749","0","1","1","1999-1-21T12:40:20","0"
"3719","331056","0","175","07.45","ADRENAL TISS REIMPLANT","0745","0","1","1","1999-1-21T12:40:20","0"
"3717","331054","0","173","07.43","ADRENAL VESSEL LIGATION","0743","0","1","1","1999-1-21T12:40:20","0"
"3934","331271","0","390","13.64","AFTER CATAR DISCISSION","1364","0","1","1","1999-1-21T12:40:52","0"
"3935","331272","0","391","13.65","AFTER CATARACT EXCISION","1365","0","1","1","1999-1-21T12:40:52","0"
"3936","331273","0","392","13.66","AFTER CATARACT MECH FRAG","1366","0","1","1","1999-1-21T12:40:52","0"
"6829","334166","0","3285","94.68","ALC/DRUG DETOXIFICATION","9468","0","1","1","1999-1-21T12:49:57","0"
"6830","334167","0","3286","94.69","ALC/DRUG REHAB/DETOX","9469","0","1","1","1999-1-21T12:49:57","0"
"6828","334165","0","3284","94.67","ALC/DRUG REHABILITATION","9467","0","1","1","1999-1-21T12:49:57","0"
"6823","334160","0","3279","94.62","ALCOHOL DETOXIFICATION","9462","0","1","1","1999-1-21T12:49:56","0"
"6824","334161","0","3280","94.63","ALCOHOL REHAB/DETOX","9463","0","1","1","1999-1-21T12:49:56","0"
"6822","334159","0","3278","94.61","ALCOHOL REHABILITATION","9461","0","1","1","1999-1-21T12:49:56","0"
"6814","334151","0","3270","94.46","ALCOHOLISM COUNSELLING","9446","0","1","1","1999-1-21T12:49:54","0"
"7102","408274","0","3558","96.29","ALIMENTARY INTUSS RED","9629","0","1","1","1999-1-21T12:50:06","0"
"7018","334355","0","3474","99.12","ALLERGY IMMUNIZATION","9912","0","1","1","1999-1-21T12:50:26","0"
"4650","331987","0","1106","41.02","ALLO BM TRANSPL/PURGING","4102","0","1","1","1999-1-21T12:44:30","0"
"4651","331988","0","1107","41.03","ALLO MARROW TRANSPL NEC","4103","0","1","1","1999-1-21T12:44:30","0"
"7093","408265","0","3549","41.05","ALLO STEM CELL TRANSPL","4105","0","1","1","1999-1-21T12:44:31","0"
"5035","332372","0","1491","52.85","ALLOTRANSPLANT IL CELLS","5285","0","1","1","1999-1-21T12:45:28","0"
"4167","331504","0","623","24.5","ALVEOLOPLASTY","245","0","1","1","1999-1-21T12:41:28","0"
"4160","331497","0","616","24.12","ALVEOLUS BIOPSY","2412","0","1","1","1999-1-21T12:41:27","0"
"6721","334058","0","3177","93.22","AMB & GAIT TRAINING","9322","0","1","1","1999-1-21T12:49:40","0"
"6516","333853","0","2972","89.50","AMBULATORY CARD MONITOR","8950","0","1","1","1999-1-21T12:49:09","0"
"7095","408267","0","3551","75.37","AMNIOINFUSION","7537","0","1","1","1999-1-21T12:46:51","0"
"5587","332924","0","2043","75.31","AMNIOSCOPY","7531","0","1","1","1999-1-21T12:46:50","0"
"6201","333538","0","2657","84.14","AMP ANK THROUGH MALLEOLI","8414","0","1","1","1999-1-21T12:48:23","0"
"6226","333563","0","2682","84.91","AMPUTATION NOS","8491","0","1","1","1999-1-21T12:48:26","0"
"5445","332782","0","1901","67.4","AMPUTATION OF CERVIX","674","0","1","1","1999-1-21T12:46:30","0"
"5348","332685","0","1804","64.3","AMPUTATION OF PENIS","643","0","1","1","1999-1-21T12:46:16","0"
"6216","333553","0","2672","84.3","AMPUTATION STUMP REV","843","0","1","1","1999-1-21T12:48:25","0"
"6199","333536","0","2655","84.12","AMPUTATION THROUGH FOOT","8412","0","1","1","1999-1-21T12:48:22","0"
"6190","333527","0","2646","84.03","AMPUTATION THROUGH HAND","8403","0","1","1","1999-1-21T12:48:21","0"
"6192","333529","0","2648","84.05","AMPUTATION THRU FOREARM","8405","0","1","1","1999-1-21T12:48:21","0"
"6194","333531","0","2650","84.07","AMPUTATION THRU HUMERUS","8407","0","1","1","1999-1-21T12:48:22","0"
"4914","332251","0","1370","49.23","ANAL BIOPSY","4923","0","1","1","1999-1-21T12:45:10","0"
"4931","332268","0","1387","49.72","ANAL CERCLAGE","4972","0","1","1","1999-1-21T12:45:12","0"
"4915","332252","0","1371","49.29","ANAL DXTIC PX NEC","4929","0","1","1","1999-1-21T12:45:10","0"
"4911","332248","0","1367","49.12","ANAL FISTULECTOMY","4912","0","1","1","1999-1-21T12:45:09","0"
"4910","332247","0","1366","49.11","ANAL FISTULOTOMY","4911","0","1","1","1999-1-21T12:45:09","0"
"4937","332274","0","1393","49.93","ANAL INCISION NEC","4993","0","1","1","1999-1-21T12:45:13","0"
"4940","332277","0","1396","49.99","ANAL OPERATION NEC","4999","0","1","1","1999-1-21T12:45:14","0"
"4934","332271","0","1390","49.79","ANAL SPHINCTER REP NEC","4979","0","1","1","1999-1-21T12:45:13","0"
"4928","332265","0","1384","49.59","ANAL SPHINCTEROTOMY NEC","4959","0","1","1","1999-1-21T12:45:12","0"
"4814","332151","0","1270","45.95","ANASTOMOSIS TO ANUS","4595","0","1","1","1999-1-21T12:44:55","0"
"3654","330991","0","110","04.81","ANES INJECT PERIPH NERVE","0481","0","1","1","1999-1-21T12:40:08","0"
"3669","331006","0","125","05.31","ANES INJECT SYMPATH NERV","0531","0","1","1","1999-1-21T12:40:11","0"
"7079","334416","0","3535","99.91","ANESTHESIA ACUPUNCTURE","9991","0","1","1","1999-1-21T12:50:35","0"
"6834","334171","0","3290","95.04","ANESTHETIZED EYE EXAM","9504","0","1","1","1999-1-21T12:49:57","0"
"4599","331936","0","1055","39.52","ANEURYSM REPAIR NEC","3952","0","1","1","1999-1-21T12:44:23","0"
"6431","333768","0","2887","88.50","ANGIOCARDIOGRAPHY NOS","8850","0","1","1","1999-1-21T12:48:57","0"
"5961","333298","0","2417","80.27","ANKLE ARTHROSCOPY","8027","0","1","1","1999-1-21T12:47:46","0"
"6029","333366","0","2485","81.11","ANKLE FUSION","8111","0","1","1","1999-1-21T12:47:56","0"
"5971","333308","0","2427","80.37","ANKLE JOINT BIOPSY","8037","0","1","1","1999-1-21T12:47:48","0"
"5981","333318","0","2437","80.47","ANKLE STRUCTURE DIVISION","8047","0","1","1","1999-1-21T12:47:49","0"
"5996","333333","0","2452","80.77","ANKLE SYNOVECTOMY","8077","0","1","1","1999-1-21T12:47:51","0"
"4401","331738","0","857","35.33","ANNULOPLASTY","3533","0","1","1","1999-1-21T12:42:02","0"
"4903","332240","0","1359","48.92","ANORECTAL MYOMECTOMY","4892","0","1","1","1999-1-21T12:45:08","0"
"4912","332249","0","1368","49.21","ANOSCOPY","4921","0","1","1","1999-1-21T12:45:09","0"
"3973","331310","0","429","14.73","ANT MECH VITRECTEOMY","1473","0","1","1","1999-1-21T12:40:58","0"
"4086","331423","0","542","21.01","ANT NAS PACK FOR EPISTX","2101","0","1","1","1999-1-21T12:41:16","0"
"4888","332225","0","1344","48.62","ANT RECT RESECT W COLOST","4862","0","1","1","1999-1-21T12:45:06","0"
"3971","331308","0","427","14.71","ANT RMVL OF VITREOUS","1471","0","1","1","1999-1-21T12:40:57","0"
"3877","331214","0","333","12.29","ANT SEGMENT DXTIC PX NEC","1229","0","1","1","1999-1-21T12:40:43","0"
"3879","331216","0","335","12.32","ANT SYNECHIA LYSIS NEC","1232","0","1","1","1999-1-21T12:40:44","0"
"6021","333358","0","2477","81.02","ANTERIOR CERV FUSION NEC","8102","0","1","1","1999-1-21T12:47:55","0"
"3917","331254","0","373","12.92","ANTERIOR CHAMBER INJECT","1292","0","1","1","1999-1-21T12:40:49","0"
"3921","331258","0","377","12.99","ANTERIOR CHAMBER OPS NEC","1299","0","1","1","1999-1-21T12:40:50","0"
"6023","333360","0","2479","81.04","ANTERIOR DORSAL FUSION","8104","0","1","1","1999-1-21T12:47:55","0"
"6025","333362","0","2481","81.06","ANTERIOR LUMBAR FUSION","8106","0","1","1","1999-1-21T12:47:56","0"
"4889","332226","0","1345","48.63","ANTERIOR RECT RESECT NEC","4863","0","1","1","1999-1-21T12:45:06","0"
"4705","332042","0","1161","42.69","ANTESTERN ANAST NEC","4269","0","1","1","1999-1-21T12:44:39","0"
"4702","332039","0","1158","42.65","ANTESTERN COLON INTERPOS","4265","0","1","1","1999-1-21T12:44:38","0"
"4703","332040","0","1159","42.66","ANTESTERN ESOPH-COL NEC","4266","0","1","1","1999-1-21T12:44:38","0"
"4701","332038","0","1157","42.64","ANTESTERN ESOPH-ENT NEC","4264","0","1","1","1999-1-21T12:44:38","0"
"4698","332035","0","1154","42.61","ANTESTERN ESOPH-ESOPHAG","4261","0","1","1","1999-1-21T12:44:38","0"
"4699","332036","0","1155","42.62","ANTESTERN ESOPH-GASTROST","4262","0","1","1","1999-1-21T12:44:38","0"
"4704","332041","0","1160","42.68","ANTESTERN INTERPOS NEC","4268","0","1","1","1999-1-21T12:44:38","0"
"4700","332037","0","1156","42.63","ANTESTERN SMB INTERPOS","4263","0","1","1","1999-1-21T12:44:38","0"
"7059","334396","0","3515","99.58","ANTITOXIN ADMIN NEC","9958","0","1","1","1999-1-21T12:50:32","0"
"4440","331777","0","896","36.11","AO-COR BYPASS-1 COR ART","3611","0","1","1","1999-1-21T12:42:08","0"
"4441","331778","0","897","36.12","AO-COR BYPASS-2 COR ART","3612","0","1","1","1999-1-21T12:42:08","0"
"4442","331779","0","898","36.13","AO-COR BYPASS-3 COR ART","3613","0","1","1","1999-1-21T12:42:08","0"
"4443","331780","0","899","36.14","AO-COR BYPASS-4+ COR ART","3614","0","1","1","1999-1-21T12:42:08","0"
"4528","331865","0","984","38.34","AORTA RESECTION & ANAST","3834","0","1","1","1999-1-21T12:44:12","0"
"4585","331922","0","1041","39.25","AORTA-ILIAC-FEMORAL BYP","3925","0","1","1","1999-1-21T12:44:21","0"
"4584","331921","0","1040","39.24","AORTA-RENAL BYPASS","3924","0","1","1","1999-1-21T12:44:21","0"
"4582","331919","0","1038","39.22","AORTA-SCL-CAROTID BYPASS","3922","0","1","1","1999-1-21T12:44:20","0"
"4439","331776","0","895","36.10","AORTOCORONARY BYPASS NOS","3610","0","1","1","1999-1-21T12:42:08","0"
"6523","333860","0","2979","89.57","APEXCARDIOGRAM","8957","0","1","1","1999-1-21T12:49:10","0"
"4157","331494","0","613","23.73","APICOECTOMY","2373","0","1","1","1999-1-21T12:41:26","0"
"4868","332205","0","1324","47.99","APPENDICEAL OPS NEC","4799","0","1","1","1999-1-21T12:45:03","0"
"4866","332203","0","1322","47.91","APPENDICOSTOMY","4791","0","1","1","1999-1-21T12:45:02","0"
"5757","333094","0","2213","78.11","APPL EXT FIX CHEST CAGE","7811","0","1","1","1999-1-21T12:47:16","0"
"5761","333098","0","2217","78.15","APPL EXT FIX DEV FEMUR","7815","0","1","1","1999-1-21T12:47:17","0"
"5758","333095","0","2214","78.12","APPL EXT FIX DEV HUMERUS","7812","0","1","1","1999-1-21T12:47:16","0"
"5765","333102","0","2221","78.19","APPL EXT FIX DEV NEC","7819","0","1","1","1999-1-21T12:47:17","0"
"5756","333093","0","2212","78.10","APPL EXT FIX DEV NOS","7810","0","1","1","1999-1-21T12:47:16","0"
"5762","333099","0","2218","78.16","APPL EXT FIX DEV PATELLA","7816","0","1","1","1999-1-21T12:47:17","0"
"5763","333100","0","2219","78.17","APPL EXT FIX DEV TIB/FIB","7817","0","1","1","1999-1-21T12:47:17","0"
"5760","333097","0","2216","78.14","APPL EXT FIX MC/CARPALS","7814","0","1","1","1999-1-21T12:47:17","0"
"5759","333096","0","2215","78.13","APPL EXT FIX RAD/ULNA","7813","0","1","1","1999-1-21T12:47:17","0"
"5764","333101","0","2220","78.18","APPL EXT FIX TARSAL/MT","7818","0","1","1","1999-1-21T12:47:17","0"
"4169","331506","0","625","24.7","APPL ORTHODONT APPLIANCE","247","0","1","1","1999-1-21T12:41:28","0"
"6750","334087","0","3206","93.57","APPL OTH WND DRESSING","9357","0","1","1","1999-1-21T12:49:45","0"
"6747","334084","0","3203","93.54","APPLICATION OF SPLINT","9354","0","1","1","1999-1-21T12:49:44","0"
"7054","334391","0","3510","99.53","ARBOVIRUS ENCEPH VACC","9953","0","1","1","1999-1-21T12:50:32","0"
"7055","334392","0","3511","99.54","ARBOVIRUS VACC NEC","9954","0","1","1","1999-1-21T12:50:32","0"
"4537","331874","0","993","38.43","ARM VESS RESECT W REPL","3843","0","1","1","1999-1-21T12:44:14","0"
"4527","331864","0","983","38.33","ARM VESSEL RESECT/ANAST","3833","0","1","1","1999-1-21T12:44:12","0"
"4547","331884","0","1003","38.53","ARM VV LIG&STRIP","3853","0","1","1","1999-1-21T12:44:15","0"
"6526","333863","0","2982","89.61","ART PRESSURE MONITORING","8961","0","1","1","1999-1-21T12:49:10","0"
"6530","333867","0","2986","89.65","ARTERIAL BLD GAS MEASURE","8965","0","1","1","1999-1-21T12:49:11","0"
"4572","331909","0","1028","38.91","ARTERIAL CATHETERIZATION","3891","0","1","1","1999-1-21T12:44:19","0"
"4448","331785","0","904","36.2","ARTERIAL IMPLANT REVASC","362","0","1","1","1999-1-21T12:42:09","0"
"4577","331914","0","1033","38.98","ARTERIAL PUNCTURE NEC","3898","0","1","1","1999-1-21T12:44:20","0"
"4587","331924","0","1043","39.27","ARTERIOVENOSTOMY FOR RD","3927","0","1","1","1999-1-21T12:44:21","0"
"6074","333411","0","2530","81.91","ARTHROCENTESIS","8191","0","1","1","1999-1-21T12:48:03","0"
"6045","333382","0","2501","81.29","ARTHRODESIS JOINT NEC","8129","0","1","1","1999-1-21T12:47:59","0"
"6036","333373","0","2492","81.20","ARTHRODESIS NOS","8120","0","1","1","1999-1-21T12:47:57","0"
"6040","333377","0","2496","81.24","ARTHRODESIS OF ELBOW","8124","0","1","1","1999-1-21T12:47:58","0"
"6037","333374","0","2493","81.21","ARTHRODESIS OF HIP","8121","0","1","1","1999-1-21T12:47:57","0"
"6038","333375","0","2494","81.22","ARTHRODESIS OF KNEE","8122","0","1","1","1999-1-21T12:47:57","0"
"6039","333376","0","2495","81.23","ARTHRODESIS OF SHOULDER","8123","0","1","1","1999-1-21T12:47:58","0"
"5963","333300","0","2419","80.29","ARTHROSCOPY NEC","8029","0","1","1","1999-1-21T12:47:46","0"
"5954","333291","0","2410","80.20","ARTHROSCOPY NOS","8020","0","1","1","1999-1-21T12:47:45","0"
"5562","332899","0","2018","73.09","ARTIF RUPT MEMBRANES NEC","7309","0","1","1","1999-1-21T12:46:47","0"
"5488","332825","0","1944","69.92","ARTIFICIAL INSEMINATION","6992","0","1","1","1999-1-21T12:46:36","0"
"4656","331993","0","1112","41.32","ASP BIOPSY OF SPLEEN","4132","0","1","1","1999-1-21T12:44:31","0"
"5484","332821","0","1940","69.59","ASP CURETTAGE UTERUS NEC","6959","0","1","1","1999-1-21T12:46:36","0"
"5482","332819","0","1938","69.51","ASP CURETTAGE-PREG TERM","6951","0","1","1","1999-1-21T12:46:35","0"
"5483","332820","0","1939","69.52","ASP CURETTE POST DEL/AB","6952","0","1","1","1999-1-21T12:46:35","0"
"6130","333467","0","2586","82.93","ASP SOFT TISS HAND NEC","8293","0","1","1","1999-1-21T12:48:11","0"
"6129","333466","0","2585","82.92","ASPIRATION BURSA OF HAND","8292","0","1","1","1999-1-21T12:48:11","0"
"6269","333606","0","2725","85.91","ASPIRATION OF BREAST","8591","0","1","1","1999-1-21T12:48:33","0"
"6181","333518","0","2637","83.94","ASPIRATION OF BURSA","8394","0","1","1","1999-1-21T12:48:20","0"
"5399","332736","0","1855","65.91","ASPIRATION OF OVARY","6591","0","1","1","1999-1-21T12:46:23","0"
"5314","332651","0","1770","62.91","ASPIRATION OF TESTES","6291","0","1","1","1999-1-21T12:46:10","0"
"6276","333613","0","2732","86.01","ASPIRATION SKIN & SUBCU","8601","0","1","1","1999-1-21T12:48:34","0"
"6729","334066","0","3185","93.31","ASSISTED POOL EXERCISE","9331","0","1","1","1999-1-21T12:49:42","0"
"6711","334048","0","3167","93.11","ASSISTING EXERCISE","9311","0","1","1","1999-1-21T12:49:39","0"
"6020","333357","0","2476","81.01","ATLAS-AXIS SP FUSION","8101","0","1","1","1999-1-21T12:47:55","0"
"6781","334118","0","3237","93.98","ATMOS PRESS/COMPOS CNTRL","9398","0","1","1","1999-1-21T12:49:49","0"
"7062","334399","0","3518","99.61","ATRIAL CARDIOVERSION","9961","0","1","1","1999-1-21T12:50:33","0"
"6310","333647","0","2766","86.74","ATTACH PEDICLE GRAFT NEC","8674","0","1","1","1999-1-21T12:48:39","0"
"6309","333646","0","2765","86.73","ATTACH PEDICLE TO HAND","8673","0","1","1","1999-1-21T12:48:39","0"
"6859","334196","0","3315","95.43","AUDIOLOGICAL EVALUATION","9543","0","1","1","1999-1-21T12:50:01","0"
"6857","334194","0","3313","95.41","AUDIOMETRY","9541","0","1","1","1999-1-21T12:50:01","0"
"6862","334199","0","3318","95.46","AUDITORY & VEST TEST NEC","9546","0","1","1","1999-1-21T12:50:02","0"
"6254","333591","0","2710","85.50","AUGMENT MAMMOPLASTY NOS","8550","0","1","1","1999-1-21T12:48:31","0"
"5628","332965","0","2084","76.68","AUGMENTATION GENIOPLASTY","7668","0","1","1","1999-1-21T12:46:56","0"
"4112","331449","0","568","21.85","AUGMENTATION RHINOPLASTY","2185","0","1","1","1999-1-21T12:41:20","0"
"4652","331989","0","1108","41.04","AUTLOG STEM CELL TRANSPL","4104","0","1","1","1999-1-21T12:44:31","0"
"7019","334356","0","3475","99.13","AUTOIMMUNE DIS IMMUNIZ","9913","0","1","1","1999-1-21T12:50:26","0"
"4649","331986","0","1105","41.01","AUTOLOG MARROW TRANSPL","4101","0","1","1","1999-1-21T12:44:30","0"
"6536","333873","0","2992","89.8","AUTOPSY","898","0","1","1","1999-1-21T12:49:12","0"
"5034","332371","0","1490","52.84","AUTOTRANSPLANT IL CELLS","5284","0","1","1","1999-1-21T12:45:28","0"
"4950","332287","0","1406","50.51","AUXILIARY LIVER TRANSPL","5051","0","1","1","1999-1-21T12:45:16","0"
"4600","331937","0","1056","39.53","AV FISTULA REPAIR","3953","0","1","1","1999-1-21T12:44:23","0"
"6663","334000","0","3119","91.81","BACT SMEAR NEC","9181","0","1","1","1999-1-21T12:49:31","0"
"6670","334007","0","3126","91.91","BACT SMEAR NOS","9191","0","1","1","1999-1-21T12:49:32","0"
"6607","333944","0","3063","91.01","BACT SMEAR-BIL/PANCREAS","9101","0","1","1","1999-1-21T12:49:23","0"
"6572","333909","0","3028","90.51","BACT SMEAR-BLOOD","9051","0","1","1","1999-1-21T12:49:18","0"
"6544","333881","0","3000","90.11","BACT SMEAR-ENDOCRINE NEC","9011","0","1","1","1999-1-21T12:49:13","0"
"6558","333895","0","3014","90.31","BACT SMEAR-ENT/LARYNX","9031","0","1","1","1999-1-21T12:49:16","0"
"6551","333888","0","3007","90.21","BACT SMEAR-EYE","9021","0","1","1","1999-1-21T12:49:15","0"
"6635","333972","0","3091","91.41","BACT SMEAR-FEMALE GENIT","9141","0","1","1","1999-1-21T12:49:27","0"
"6649","333986","0","3105","91.61","BACT SMEAR-INTEGUMENT","9161","0","1","1","1999-1-21T12:49:29","0"
"6600","333937","0","3056","90.91","BACT SMEAR-LOWER GI","9091","0","1","1","1999-1-21T12:49:22","0"
"6565","333902","0","3021","90.41","BACT SMEAR-LOWER RESP","9041","0","1","1","1999-1-21T12:49:17","0"
"6628","333965","0","3084","91.31","BACT SMEAR-LOWER URINARY","9131","0","1","1","1999-1-21T12:49:26","0"
"6586","333923","0","3042","90.71","BACT SMEAR-LYMPH SYSTEM","9071","0","1","1","1999-1-21T12:49:20","0"
"6642","333979","0","3098","91.51","BACT SMEAR-MS/JT FLUID","9151","0","1","1","1999-1-21T12:49:28","0"
"6537","333874","0","2993","90.01","BACT SMEAR-NERVOUS SYST","9001","0","1","1","1999-1-21T12:49:12","0"
"6656","333993","0","3112","91.71","BACT SMEAR-OP WOUND","9171","0","1","1","1999-1-21T12:49:30","0"
"6614","333951","0","3070","91.11","BACT SMEAR-PERITONEUM","9111","0","1","1","1999-1-21T12:49:24","0"
"6579","333916","0","3035","90.61","BACT SMEAR-SPLEEN/MARROW","9061","0","1","1","1999-1-21T12:49:19","0"
"6593","333930","0","3049","90.81","BACT SMEAR-UPPER GI","9081","0","1","1","1999-1-21T12:49:21","0"
"6621","333958","0","3077","91.21","BACT SMEAR-UPPER URINARY","9121","0","1","1","1999-1-21T12:49:25","0"
"6363","333700","0","2819","87.61","BARIUM SWALLOW","8761","0","1","1","1999-1-21T12:48:47","0"
"5532","332869","0","1988","71.23","BARTHOLIN'S GLAND MARSUP","7123","0","1","1","1999-1-21T12:46:43","0"
"5534","332871","0","1990","71.29","BARTHOLIN'S GLAND OP NEC","7129","0","1","1","1999-1-21T12:46:43","0"
"6802","334139","0","3258","94.33","BEHAVIOR THERAPY","9433","0","1","1","1999-1-21T12:49:52","0"
"6510","333847","0","2966","89.43","BICYCLE ERGOMETER TEST","8943","0","1","1","1999-1-21T12:49:08","0"
"4969","332306","0","1425","51.19","BIL TRACT DXTIC PX NEC","5119","0","1","1","1999-1-21T12:45:19","0"
"3702","331039","0","158","07.02","BILAT ADRENAL EXPLOR","0702","0","1","1","1999-1-21T12:40:17","0"
"6256","333593","0","2712","85.52","BILAT BRST INJECT-AUGM","8552","0","1","1","1999-1-21T12:48:31","0"
"5055","332392","0","1511","53.14","BILAT DIRECT IH REP-GRFT","5314","0","1","1","1999-1-21T12:45:31","0"
"5052","332389","0","1508","53.11","BILAT DIRECT IH REPAIR","5311","0","1","1","1999-1-21T12:45:31","0"
